url	repo	file	java_file	func	hunk	test	note		
https://github.com/apache/pulsar/commit/c644849b2dd21c824eaaeeb5b5482df7e492f49a	apache/pulsar	5	4	8	14	1	[improve][proxy] Support disabling metrics endpoint (#21031)		
https://github.com/apache/pulsar/commit/a302772e391c6162e9e9554d217e2fb88915d047	apache/pulsar	5	4	8	15	1	[improve][proxy] Support disabling metrics endpoint (#21031)		
https://github.com/apache/pulsar/commit/fd6c4f817c3d8c9e6e8afffe5080637ef9727e56	apache/pulsar	5	4	8	15	1	[improve][proxy] Support disabling metrics endpoint (#21031)		
https://github.com/apache/activemq/commit/9905e2a5bf9862a049f94ce0a2465b0c7ad52436	apache/activemq	16	13	37	30	1	AMQ-9370 - Openwire marshaller should validate Throwable class type		
https://github.com/apache/activemq/commit/22442b2385b1000312aec3d19e510131d595a5fc	apache/activemq	16	13	37	30	1	AMQ-9370 - Openwire marshaller should validate Throwable class type		
https://github.com/apache/activemq/commit/d0ccdd31544ada83185554c87c7aa141064020f0	apache/activemq	16	13	37	30	1	AMQ-9370 - Openwire marshaller should validate Throwable class type		
https://github.com/apache/activemq/commit/958330df26cf3d5cdb63905dc2c6882e98781d8f	apache/activemq	16	13	37	30	1	AMQ-9370 - Openwire marshaller should validate Throwable class type		
https://github.com/bcgit/bc-java/commit/eff6adf03f426dc4d55e8305255eb38c811ddda7	bcgit/bc-java	3	3	3	4	1	Fix ASN.1 External constructors taking tagged object		
https://github.com/bcgit/bc-java/commit/97578f9b7ed277e6ecb58834e85e3d18385a4219	bcgit/bc-java	1	1	1	1	1	None		
https://github.com/bcgit/bc-java/commit/97578f9b7ed277e6ecb58834e85e3d18385a4219	bcgit/bc-java	1	1	1	1	1	None		
https://github.com/bcgit/bc-java/commit/97578f9b7ed277e6ecb58834e85e3d18385a4219	bcgit/bc-java	1	1	1	1	1	None		
https://github.com/apache/camel/commit/f281a06a54b4885c155feb2bc9a3398a6735c5a9	apache/camel	12	12	7	12	1	(chores) Ensures logging consistency for events		
https://github.com/apache/camel/commit/4af24a154d4c0599f47efad0a44921c66b9ef7c5	apache/camel	12	12	7	12	1	(chores) Ensures logging consistency for events		
https://github.com/apache/camel/commit/9a44c6c1974f15ff481cd38b3e672843fb9d12c3	apache/camel	12	12	7	12	1	(chores) Ensures logging consistency for events		
https://github.com/apache/camel/commit/11f68102c1d390c5264bc6c49d79059fdbf1cb16	apache/camel	12	12	7	12	1	(chores) Ensures logging consistency for events		
